id,shop_name,display_name,brand_name,original_price,sale_price,image_url,rank
97,kurly,클렌즈 30개입 5종 (택1),라이블링,39900.0,24900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/fe05f63d-6999-4474-8c03-117ec6929a44.png,97
98,kurly,프로 단백질바 3종 560g (택1),닥터유,,16000,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/e10449c1-4138-4af3-9558-fc1e5a07dc0f.jpg,98
99,kurly,단백질 쉐이크 스타터팩 9개입,플라이밀,45000.0,29400,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/be5b39be-197a-4eab-bd72-dcfd78b922a7.jpg,99
100,kurly,프리미엄 오미자 자일로스청 원액 1L,문경몰,19000.0,15960,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/7406899c-8eef-4ac3-8ca7-47c50a3470b8.jpg,100
101,gmarket,활기력 20ml 16병 선물포장 (쇼핑백동봉),정관장,42000.0,29900,//gdimg.gmarket.co.kr/4272567157/still/300?ver=1759119735,1
102,gmarket,rTG 알티지 오메가3 6개월분(180캡슐) (5%적립+쇼핑백1매) 식물성캡슐 비타민D (~9/30),순수식품,31640.0,24900,//gdimg.gmarket.co.kr/1819951773/still/300?ver=1758611624,2
103,gmarket,(15%) 프로바이오틱스 생유산균 골드 240포(+10포 추가증정) 총 250포 (9/29(월) 결제건만 증정),서울약사신협,25640.0,19800,//gdimg.gmarket.co.kr/2933225337/still/300?ver=1759058487,3
104,gmarket,(10% 적립) 풀무원녹즙 매일배송 채소습관 케일사과 130ml 4주분 (월-금) 총20병,풀무원,33990.0,26900,//gdimg.gmarket.co.kr/3301351434/still/300?ver=1758856838,4
105,gmarket,비타민C 1000 600정 X 1개 (20개월분),고려은단,53700.0,42900,//gdimg.gmarket.co.kr/1589098023/still/300?ver=1756437078,5
106,gmarket,락토핏 골드 50포 6통 (300일분),락토핏,95000.0,66500,//gdimg.gmarket.co.kr/1577510972/still/300?ver=1752821025,6
107,gmarket,뉴케어 미니 구수한맛 150ml(24입),대상웰라이프,37200.0,27760,//gdimg.gmarket.co.kr/3016672563/still/300?ver=1752644660,7
108,gmarket,정관장 에브리타임 소프트 20포 x 2세트 (쇼핑백동봉),정관장,108000.0,84300,//gdimg.gmarket.co.kr/4399586295/still/300?ver=1759106975,8
109,gmarket,정관장 홍삼정 에브리타임 10ml 50포 500ml 1박스 간편한 홍삼 한포로 체우는 건강한 생활,정관장,155900.0,153900,//gdimg.gmarket.co.kr/4233738047/still/300?ver=1756368243,9
110,gmarket,정관장 선물세트_ 다보록 감사휘(輝)편 / 선물포장 (쇼핑백동봉),정관장,56000.0,42000,//gdimg.gmarket.co.kr/4266330961/still/300?ver=1759119945,10
111,gmarket,햇꿀(설탕0%) 시골이야기 아카시아꿀 2.4kg/2025년/탄비-25.2 / 단 하루 특가,예천시골이야기,48000.0,41200,//gdimg.gmarket.co.kr/681524167/still/300?ver=1758864170,11
112,gmarket,정관장 홍삼원골드 50mlx60포  (빅스),정관장,45500.0,38950,//gdimg.gmarket.co.kr/2534888799/still/300?ver=1758687627,12
113,gmarket,바이오코어 100억 유산균 30캡슐 3박스,바이오코어,42000.0,30900,//gdimg.gmarket.co.kr/2904118583/still/300?ver=1756714617,13
